speech_id,avg_amr_nodes,avg_amr_edges,avg_amr_depth,sentence_count
1050000001,90.0,89.0,7.0,1
1050000003,60.0,59.0,6.0,2
1050000004,962.0,961.0,7.0,1
1050000005,71.0,70.0,6.0,1
1050000007,177.0,176.0,7.0,1
1050000033,40.0,39.0,4.0,2
1050000037,54.0,53.0,5.0,1
1050000042,20.0,19.0,2.0,3
1050000058,79.0,78.0,7.0,1
1050000060,114.0,113.0,7.0,1
1050000063,125.0,124.0,7.0,1
1050000066,128.66666666666666,127.66666666666667,5.666666666666667,3
1050000067,88.0,87.0,7.0,1
1050000077,668.0,667.0,7.0,1
1140000002,136.0,135.0,7.0,1
1140000004,92.0,91.0,7.0,1
1140000006,55.0,54.0,5.0,1
1140000007,133.5,132.5,7.0,2
1140000009,122.0,121.0,4.5,2
1140000013,91.5,90.5,6.0,2
1140000015,92.0,91.0,7.0,1
1140000016,88.0,87.0,7.0,1
1140000017,496.0,495.0,7.0,2
1140000018,85.11111111111111,84.11111111111111,4.444444444444445,9
1140000019,86.0,85.0,7.0,1
1140000021,109.0,108.0,7.0,1
1140000035,100.0,99.0,7.0,1
1140000039,75.0,74.0,7.0,1
1140000054,66.0,65.0,6.0,1
1140000062,157.0,156.0,7.0,1
1140000065,865.0,864.0,7.0,1
1140000066,25.5,24.5,2.5,2
1140000067,358.3333333333333,357.3333333333333,6.0,9
1140000069,216.6,215.6,4.2,5
1140000072,137.0,136.0,6.0,4
1140000075,111.0,110.0,7.0,1
1140000078,112.33333333333333,111.33333333333333,6.333333333333333,3
970000001,286.0,285.0,7.0,1
970000002,53.0,52.0,5.0,1
970000003,17.0,16.0,2.2,5
970000015,58.714285714285715,57.714285714285715,4.714285714285714,7
970000018,69.0,68.0,6.0,1
970000019,62.25,61.25,5.25,4
970000032,55.0,54.0,5.0,1
970000037,206.0,205.0,5.0,2
970000038,116.33333333333333,115.33333333333333,5.0,3
970000040,38.0,37.0,3.5,2
970000058,53.0,52.0,5.0,1
970000060,40.0,39.0,4.0,2
970000061,32.5,31.5,3.0,2
970000072,609.0,608.0,7.0,2
970000078,479.0,478.0,7.0,1
