decade,word,embedding_path,count
1980s,monitoring,data/processed/deberta_embeddings/seed_word_embeddings/1980s_monitoring.npy,1
1980s,rights,data/processed/deberta_embeddings/seed_word_embeddings/1980s_rights.npy,1
1980s,productivity,data/processed/deberta_embeddings/seed_word_embeddings/1980s_productivity.npy,1
1980s,terror,data/processed/deberta_embeddings/seed_word_embeddings/1980s_terror.npy,1
1980s,crisis,data/processed/deberta_embeddings/seed_word_embeddings/1980s_crisis.npy,2
1980s,assistance,data/processed/deberta_embeddings/seed_word_embeddings/1980s_assistance.npy,2
1980s,freedom,data/processed/deberta_embeddings/seed_word_embeddings/1980s_freedom.npy,1
1980s,consensus,data/processed/deberta_embeddings/seed_word_embeddings/1980s_consensus.npy,1
1980s,competitiveness,data/processed/deberta_embeddings/seed_word_embeddings/1980s_competitiveness.npy,1
1990s,crisis,data/processed/deberta_embeddings/seed_word_embeddings/1990s_crisis.npy,2
1990s,war,data/processed/deberta_embeddings/seed_word_embeddings/1990s_war.npy,10
1990s,peace,data/processed/deberta_embeddings/seed_word_embeddings/1990s_peace.npy,3
1990s,defense,data/processed/deberta_embeddings/seed_word_embeddings/1990s_defense.npy,4
1990s,aggression,data/processed/deberta_embeddings/seed_word_embeddings/1990s_aggression.npy,1
1990s,responsibility,data/processed/deberta_embeddings/seed_word_embeddings/1990s_responsibility.npy,2
1990s,infrastructure,data/processed/deberta_embeddings/seed_word_embeddings/1990s_infrastructure.npy,1
1990s,operation,data/processed/deberta_embeddings/seed_word_embeddings/1990s_operation.npy,1
1990s,justice,data/processed/deberta_embeddings/seed_word_embeddings/1990s_justice.npy,130
1990s,welfare,data/processed/deberta_embeddings/seed_word_embeddings/1990s_welfare.npy,2
1990s,productivity,data/processed/deberta_embeddings/seed_word_embeddings/1990s_productivity.npy,1
1990s,mandate,data/processed/deberta_embeddings/seed_word_embeddings/1990s_mandate.npy,2
1990s,burden,data/processed/deberta_embeddings/seed_word_embeddings/1990s_burden.npy,1
1990s,authority,data/processed/deberta_embeddings/seed_word_embeddings/1990s_authority.npy,1
1990s,accountability,data/processed/deberta_embeddings/seed_word_embeddings/1990s_accountability.npy,1
1990s,reform,data/processed/deberta_embeddings/seed_word_embeddings/1990s_reform.npy,2
1990s,rights,data/processed/deberta_embeddings/seed_word_embeddings/1990s_rights.npy,1
1990s,compromise,data/processed/deberta_embeddings/seed_word_embeddings/1990s_compromise.npy,1
1990s,education,data/processed/deberta_embeddings/seed_word_embeddings/1990s_education.npy,1
1990s,initiative,data/processed/deberta_embeddings/seed_word_embeddings/1990s_initiative.npy,1
1990s,security,data/processed/deberta_embeddings/seed_word_embeddings/1990s_security.npy,1
1990s,risk,data/processed/deberta_embeddings/seed_word_embeddings/1990s_risk.npy,1
2000s,security,data/processed/deberta_embeddings/seed_word_embeddings/2000s_security.npy,2
2000s,education,data/processed/deberta_embeddings/seed_word_embeddings/2000s_education.npy,3
2000s,equity,data/processed/deberta_embeddings/seed_word_embeddings/2000s_equity.npy,1
2000s,war,data/processed/deberta_embeddings/seed_word_embeddings/2000s_war.npy,2
2000s,aid,data/processed/deberta_embeddings/seed_word_embeddings/2000s_aid.npy,1
2000s,labor,data/processed/deberta_embeddings/seed_word_embeddings/2000s_labor.npy,1
2000s,defense,data/processed/deberta_embeddings/seed_word_embeddings/2000s_defense.npy,2
2000s,accountability,data/processed/deberta_embeddings/seed_word_embeddings/2000s_accountability.npy,2
2000s,initiative,data/processed/deberta_embeddings/seed_word_embeddings/2000s_initiative.npy,1
2000s,justice,data/processed/deberta_embeddings/seed_word_embeddings/2000s_justice.npy,2
2000s,civilian,data/processed/deberta_embeddings/seed_word_embeddings/2000s_civilian.npy,1
2000s,assistance,data/processed/deberta_embeddings/seed_word_embeddings/2000s_assistance.npy,1
2000s,oversight,data/processed/deberta_embeddings/seed_word_embeddings/2000s_oversight.npy,1
2000s,compliance,data/processed/deberta_embeddings/seed_word_embeddings/2000s_compliance.npy,1
2000s,reform,data/processed/deberta_embeddings/seed_word_embeddings/2000s_reform.npy,1
2010s,aid,data/processed/deberta_embeddings/seed_word_embeddings/2010s_aid.npy,1
2010s,healthcare,data/processed/deberta_embeddings/seed_word_embeddings/2010s_healthcare.npy,1
2010s,division,data/processed/deberta_embeddings/seed_word_embeddings/2010s_division.npy,1
2010s,benefits,data/processed/deberta_embeddings/seed_word_embeddings/2010s_benefits.npy,1
2010s,presence,data/processed/deberta_embeddings/seed_word_embeddings/2010s_presence.npy,1
2010s,bipartisan,data/processed/deberta_embeddings/seed_word_embeddings/2010s_bipartisan.npy,1
1980s,inflation,data/processed/deberta_embeddings/seed_word_embeddings/1980s_inflation.npy,1
1980s,recovery,data/processed/deberta_embeddings/seed_word_embeddings/1980s_recovery.npy,1
1980s,civilian,data/processed/deberta_embeddings/seed_word_embeddings/1980s_civilian.npy,1
1980s,justice,data/processed/deberta_embeddings/seed_word_embeddings/1980s_justice.npy,1
1980s,growth,data/processed/deberta_embeddings/seed_word_embeddings/1980s_growth.npy,1
