speech_id,year,decade,total_tokens,unique_tokens,hapax_count,total_adjectives,unique_adjectives,subordinate_clause_count,sentence_count
970000001,1981,1980s,286,144,102,13,10,26,1
970000002,1981,1980s,53,30,17,0,0,6,1
970000003,1981,1980s,78,52,42,2,2,5,5
970000015,1981,1980s,357,247,211,7,7,2,7
970000018,1981,1980s,67,43,32,4,4,6,1
970000019,1981,1980s,249,110,68,21,17,25,4
970000032,1981,1980s,55,40,34,3,3,2,1
970000037,1981,1980s,410,153,85,19,14,37,2
970000038,1981,1980s,347,154,98,27,18,32,3
970000040,1981,1980s,74,46,35,1,1,4,2
970000058,1981,1980s,50,26,18,1,1,3,1
970000060,1981,1980s,79,57,50,4,4,3,2
970000061,1981,1980s,65,37,26,3,1,3,2
970000072,1981,1980s,1174,165,76,70,19,41,2
970000078,1981,1980s,477,130,62,10,9,13,1
1050000001,1997,1990s,88,48,31,3,3,8,1
1050000003,1997,1990s,120,78,59,9,8,10,2
1050000004,1997,1990s,920,347,216,77,53,83,1
1050000005,1997,1990s,71,47,38,3,3,7,1
1050000007,1997,1990s,176,100,66,12,12,15,1
1050000033,1997,1990s,80,56,40,5,5,8,2
1050000037,1997,1990s,54,39,28,2,2,2,1
1050000042,1997,1990s,60,34,22,4,3,6,3
1050000058,1997,1990s,79,39,20,4,4,2,1
1050000060,1997,1990s,113,68,46,6,5,7,1
1050000063,1997,1990s,124,70,48,12,8,7,1
1050000066,1997,1990s,377,141,82,17,17,36,3
1050000067,1997,1990s,88,59,40,8,7,7,1
1050000077,1997,1990s,654,189,105,35,16,46,1
1140000002,2015,2010s,132,73,49,7,6,10,1
1140000004,2015,2010s,89,54,47,10,5,1,1
1140000006,2015,2010s,53,42,38,2,2,3,1
1140000007,2015,2010s,265,141,100,18,16,27,2
1140000009,2015,2010s,244,112,68,8,7,30,2
1140000013,2015,2010s,181,88,57,11,10,13,2
1140000015,2015,2010s,93,54,39,2,2,6,1
1140000016,2015,2010s,88,37,25,8,2,2,1
1140000017,2015,2010s,985,348,219,60,44,97,2
1140000018,2015,2010s,769,326,220,57,45,77,9
1140000019,2015,2010s,86,58,49,7,7,8,1
1140000021,2015,2010s,109,68,56,8,8,10,1
1140000035,2015,2010s,100,59,45,6,6,9,1
1140000039,2015,2010s,74,42,29,3,3,5,1
1140000054,2015,2010s,64,32,16,4,3,5,1
1140000062,2015,2010s,155,98,76,7,7,12,1
1140000065,2015,2010s,858,363,241,60,42,89,1
1140000066,2015,2010s,50,38,32,2,2,4,2
1140000067,2015,2010s,3210,645,321,217,101,393,9
1140000069,2015,2010s,1080,340,153,71,39,124,5
1140000072,2015,2010s,537,194,101,28,19,72,4
1140000075,2015,2010s,107,59,36,7,5,10,1
1140000078,2015,2010s,335,197,153,25,20,37,3
