speech_id,avg_amr_nodes,avg_amr_edges,avg_amr_depth,sentence_count
1000000001,58.0,57.0,4.666666666666667,3
1000000003,185.0,184.0,7.0,1
1000000004,72.0,71.0,7.0,1
1000000005,178.0,177.0,7.0,1
1000000006,146.0,145.0,7.0,1
1000000007,49.25,48.25,4.5,4
1000000010,245.0,244.0,7.0,2
1000000011,298.7142857142857,297.7142857142857,6.857142857142857,7
1000000029,70.0,69.0,6.0,1
1000000040,1391.0,1390.0,7.0,1
1000000042,462.3333333333333,461.3333333333333,5.333333333333333,3
1000000044,226.0,225.0,7.0,2
1000000046,237.0,236.0,7.0,1
1000000048,335.0,334.0,7.0,1
1000000050,486.0,485.0,7.0,1
1000000052,182.0,181.0,7.0,2
1000000054,359.0,358.0,7.0,1
1000000056,184.5,183.5,4.0,2
1000000059,54.625,53.625,4.5,8
1000000060,56.0,55.0,3.4,10
1000000088,108.0,107.0,7.0,1
1000000096,86.0,85.0,7.0,1
1000000103,73.0,72.0,7.0,1
1000000109,92.0,91.0,7.0,1
1000000114,89.0,88.0,7.0,1
1000000115,268.0,267.0,7.0,1
1000000116,366.0,365.0,7.0,1
1000000117,535.0,534.0,7.0,1
1000000118,519.0,518.0,7.0,1
1000000119,702.0,701.0,7.0,1
1000000122,375.0,374.0,7.0,1
1000000123,240.0,239.0,7.0,1
1000000124,25.4,24.4,2.6,5
1000000132,398.0,397.0,7.0,1
1000000135,253.0,252.0,7.0,1
1000000136,266.0,265.0,7.0,1
1000000138,265.5,264.5,7.0,2
1000000141,233.0,232.0,7.0,4
1000000143,192.0,191.0,4.5,2
1000000145,417.0,416.0,7.0,1
1000000146,2031.0,2030.0,7.0,2
1000000148,369.8333333333333,368.8333333333333,7.0,6
1000000149,657.8,656.8,6.2,5
1000000151,316.0,315.0,7.0,4
1000000152,324.0,323.0,7.0,3
1000000154,723.75,722.75,5.75,8
1000000158,479.5,478.5,7.0,2
1000000161,112.0,111.0,6.666666666666667,3
1000000168,200.0,199.0,7.0,1
1000000171,22.2,21.2,2.3,10
1000000172,95.0,94.0,7.0,1
1000000178,53.0,52.0,5.0,1
1000000204,78.0,77.0,7.0,1
1000000213,39.333333333333336,38.333333333333336,4.0,3
1000000216,66.0,65.0,6.0,1
1000000234,51.0,50.0,5.0,1
1000000267,57.4,56.4,4.2,5
1000000268,25.0,24.0,2.5,2
1000000269,257.5,256.5,5.5,4
1000000280,88.0,87.0,7.0,1
1000000281,73.0,72.0,7.0,1
1000000282,100.0,99.0,7.0,1
1000000283,51.0,50.0,5.0,1
1000000286,64.0,63.0,6.0,1
1000000292,64.0,63.0,6.0,1
1000000300,214.0,213.0,7.0,1
1000000306,35.0,34.0,3.5,2
1000000308,55.0,54.0,5.0,1
1000000310,51.5,50.5,5.0,2
1000000314,72.0,71.0,7.0,1
1000000315,374.0,373.0,7.0,1
1000000316,86.5,85.5,5.4,10
1000000317,322.375,321.375,6.25,8
