speech_id,year,decade,total_tokens,unique_tokens,hapax_count,total_adjectives,unique_adjectives,subordinate_clause_count,sentence_count
970000001,1981,1980s,286,144,102,15,12,25,1
970000002,1981,1980s,53,30,17,0,0,4,1
970000003,1981,1980s,78,52,42,2,2,9,2
970000015,1981,1980s,357,248,213,6,6,3,16
970000018,1981,1980s,67,43,32,4,4,6,1
970000019,1981,1980s,249,110,68,20,16,26,2
970000032,1981,1980s,55,40,34,3,3,2,1
970000037,1981,1980s,410,153,85,18,13,35,3
970000038,1981,1980s,347,154,98,26,18,31,3
970000040,1981,1980s,74,46,35,1,1,5,1
970000058,1981,1980s,50,26,18,1,1,3,3
970000060,1981,1980s,79,57,50,2,2,2,5
970000061,1981,1980s,65,37,26,2,2,2,1
970000072,1981,1980s,1174,165,76,70,17,42,2
970000078,1981,1980s,477,129,61,8,7,8,4
970000084,1981,1980s,52,39,31,4,4,3,1
970000094,1981,1980s,129,60,34,11,6,9,1
970000109,1981,1980s,59,36,25,4,3,4,1
970000117,1981,1980s,88,54,40,2,2,9,1
970000128,1981,1980s,120,71,50,10,9,12,1
970000129,1981,1980s,127,60,33,5,4,22,2
970000132,1981,1980s,110,67,48,4,3,8,2
970000139,1981,1980s,123,74,57,8,8,10,1
970000142,1981,1980s,107,57,33,8,6,19,1
970000146,1981,1980s,80,43,26,7,5,10,1
970000155,1981,1980s,70,49,39,4,4,5,1
970000157,1981,1980s,57,38,25,4,4,4,2
970000159,1981,1980s,66,48,35,6,5,4,1
970000161,1981,1980s,66,30,21,4,4,1,1
970000166,1981,1980s,97,65,52,5,5,1,1
970000171,1981,1980s,268,141,104,22,19,19,1
970000172,1981,1980s,66,48,38,3,3,6,2
970000175,1981,1980s,134,78,58,3,3,7,1
970000177,1981,1980s,58,45,38,4,4,2,1
970000180,1981,1980s,88,54,39,5,4,4,1
970000181,1981,1980s,103,71,56,6,5,5,1
970000182,1981,1980s,1228,447,284,101,66,106,5
970000183,1981,1980s,813,318,218,70,51,55,1
970000184,1981,1980s,1113,354,214,97,55,79,3
970000185,1981,1980s,496,216,134,48,32,39,2
970000186,1981,1980s,1088,398,257,134,73,69,3
970000187,1981,1980s,65,40,30,5,4,6,1
970000189,1981,1980s,679,285,192,79,55,54,5
970000190,1981,1980s,60,45,37,5,5,2,1
970000191,1981,1980s,118,84,69,15,15,10,1
970000192,1981,1980s,635,267,183,62,46,27,1
970000193,1981,1980s,421,167,109,40,34,26,1
970000194,1981,1980s,514,222,142,38,27,49,1
970000195,1981,1980s,562,233,165,50,38,32,2
970000196,1981,1980s,1152,320,153,109,53,80,3
970000197,1981,1980s,596,210,129,40,33,53,2
970000198,1981,1980s,153,90,61,10,9,9,1
970000199,1981,1980s,604,268,189,72,51,29,2
970000200,1981,1980s,781,301,193,71,51,89,2
970000201,1981,1980s,360,164,106,30,22,22,1
970000202,1981,1980s,1102,388,248,151,68,58,3
970000203,1981,1980s,703,256,165,95,47,66,3
970000204,1981,1980s,792,290,175,67,42,62,2
970000205,1981,1980s,234,124,83,19,16,18,2
970000206,1981,1980s,1127,409,278,103,67,81,1
970000207,1981,1980s,343,166,123,42,24,25,3
970000208,1981,1980s,725,310,211,68,46,48,2
970000209,1981,1980s,809,310,202,73,49,52,1
970000210,1981,1980s,529,236,169,74,36,23,1
970000211,1981,1980s,383,174,119,44,27,27,2
970000212,1981,1980s,312,144,94,34,22,29,1
970000213,1981,1980s,1403,429,252,113,65,104,8
970000214,1981,1980s,888,326,189,99,51,48,1
970000215,1981,1980s,1057,303,172,134,48,66,3
970000216,1981,1980s,2371,675,405,245,133,169,4
970000217,1981,1980s,1182,485,342,144,91,90,3
970000218,1981,1980s,963,392,259,89,70,70,4
970000219,1981,1980s,1532,415,242,141,61,105,3
970000220,1981,1980s,486,205,136,53,37,43,1
970000221,1981,1980s,1222,439,270,134,83,76,2
970000222,1981,1980s,488,248,173,58,42,38,1
970000223,1981,1980s,646,266,177,79,56,33,1
970000224,1981,1980s,872,337,217,85,51,59,1
970000225,1981,1980s,649,278,181,75,51,57,3
970000227,1981,1980s,135,87,66,7,6,10,1
970000228,1981,1980s,94,51,33,4,4,6,1
970000229,1981,1980s,149,79,53,8,7,8,1
970000230,1981,1980s,241,135,99,24,23,17,3
970000231,1981,1980s,747,317,207,42,28,39,1
970000232,1981,1980s,169,100,74,19,19,11,1
970000233,1981,1980s,252,143,111,22,21,15,1
970000234,1981,1980s,311,146,105,26,24,18,1
970000236,1981,1980s,292,144,105,29,19,13,1
970000237,1981,1980s,478,193,122,28,23,40,1
970000238,1981,1980s,542,254,185,43,34,45,2
970000239,1981,1980s,178,102,77,8,8,10,7
970000240,1981,1980s,131,90,70,17,15,10,1
970000241,1981,1980s,743,353,258,68,49,58,1
