decade_from,decade,word,cosine_drift,deberta_drift,cluster_migration
1980s,1990s,poverty,0.13119906187057495,,
1980s,1990s,war,0.2997246980667114,,
1980s,1990s,propaganda,0.37221938371658325,,
1980s,1990s,surveillance,0.3293496370315552,,
1980s,1990s,occupation,0.34838080406188965,,
1980s,1990s,security,0.12507712841033936,,
1980s,1990s,freedom,0.17854267358779907,,
1980s,1990s,liberty,0.12414658069610596,,
1980s,1990s,justice,0.21804410219192505,,
1980s,1990s,peace,0.23663294315338135,,
1980s,1990s,prosperity,0.1422709822654724,,
1980s,1990s,inflation,0.21258074045181274,,
1980s,1990s,taxation,0.23765933513641357,,
1980s,1990s,regulation,0.16906815767288208,,
1980s,1990s,education,0.18307429552078247,,
1980s,1990s,labor,0.2542385458946228,,
1980s,1990s,welfare,0.46828693151474,,
1980s,1990s,crisis,0.23374688625335693,,
1980s,1990s,defense,0.24162030220031738,,
1980s,1990s,terror,0.24839526414871216,,
1980s,1990s,terrorism,0.2527288794517517,,
1980s,1990s,deterrence,0.4034661054611206,,
1980s,1990s,intervention,0.39161765575408936,,
1980s,1990s,stability,0.21879148483276367,,
1980s,1990s,reform,0.23914730548858643,,
1980s,1990s,modernization,0.3159042000770569,,
1980s,1990s,transition,0.7677111625671387,,
1980s,1990s,equity,0.3575540781021118,,
1980s,1990s,opportunity,0.08625555038452148,,
1980s,1990s,presence,0.3822663426399231,,
1980s,1990s,monitoring,0.3176255226135254,,
1980s,1990s,intelligence,0.28180766105651855,,
1980s,1990s,readiness,0.2891954183578491,,
1980s,1990s,initiative,0.18943268060684204,,
1980s,1990s,partnership,0.2226899266242981,,
1980s,1990s,framework,0.20944249629974365,,
1980s,1990s,engagement,0.6740051507949829,,
1980s,1990s,governance,0.39390647411346436,,
1980s,1990s,accountability,0.44532471895217896,,
1980s,1990s,compliance,0.27453088760375977,,
1980s,1990s,innovation,0.24528664350509644,,
1980s,1990s,productivity,0.14045947790145874,,
1980s,1990s,efficiency,0.23128771781921387,,
1980s,1990s,competitiveness,0.19562488794326782,,
1980s,1990s,investment,0.08800846338272095,,
1980s,1990s,infrastructure,0.14731907844543457,,
1980s,1990s,healthcare,0.45163965225219727,,
1980s,1990s,insurance,0.17573750019073486,,
1980s,1990s,relief,0.3502935767173767,,
1980s,1990s,aid,0.28104716539382935,,
1980s,1990s,assistance,0.12815147638320923,,
1980s,1990s,oversight,0.2048930525779724,,
1980s,1990s,appropriation,0.13774198293685913,,
1980s,1990s,mandate,0.5320557951927185,,
1980s,1990s,authority,0.13107043504714966,,
1980s,1990s,coordination,0.18387055397033691,,
1980s,1990s,strategy,0.15286993980407715,,
1980s,1990s,operation,0.31462883949279785,,
1980s,1990s,mission,0.27461570501327515,,
1980s,1990s,conflict,0.431480348110199,,
1980s,1990s,aggression,0.37628549337387085,,
1980s,1990s,threat,0.18273425102233887,,
1980s,1990s,risk,0.18391132354736328,,
1980s,1990s,stewardship,0.4195523262023926,,
1980s,1990s,capacity,0.20933985710144043,,
1980s,1990s,resources,0.46669942140579224,,
1980s,1990s,burden,0.12898409366607666,,
1980s,1990s,sacrifice,0.12346351146697998,,
