decade_from,decade,word,cosine_drift,deberta_drift,cluster_migration
1980s,1990s,poverty,0.07021987438201904,,
1980s,1990s,war,0.09775036573410034,,
1980s,1990s,security,0.0706670880317688,,
1980s,1990s,freedom,0.09655487537384033,,
1980s,1990s,liberty,0.07618981599807739,,
1980s,1990s,justice,0.042809247970581055,,
1980s,1990s,peace,0.07438969612121582,,
1980s,1990s,prosperity,0.0372546911239624,,
1980s,1990s,inflation,0.07138019800186157,,
1980s,1990s,taxation,0.04168456792831421,,
1980s,1990s,regulation,0.06164884567260742,,
1980s,1990s,education,0.11478310823440552,,
1980s,1990s,labor,0.08458757400512695,,
1980s,1990s,welfare,0.042532145977020264,,
1980s,1990s,crisis,0.0520438551902771,,
1980s,1990s,defense,0.1590617299079895,,
1980s,1990s,intervention,0.13655853271484375,,
1980s,1990s,stability,0.07354170083999634,,
1980s,1990s,reform,0.08579516410827637,,
1980s,1990s,transition,0.01308596134185791,,
1980s,1990s,equity,0.12901824712753296,,
1980s,1990s,opportunity,0.07926565408706665,,
1980s,1990s,presence,0.03994959592819214,,
1980s,1990s,intelligence,0.3088667392730713,,
1980s,1990s,initiative,0.025993824005126953,,
1980s,1990s,partnership,0.043580830097198486,,
1980s,1990s,framework,0.020909368991851807,,
1980s,1990s,accountability,0.1794561743736267,,
1980s,1990s,compliance,0.09487980604171753,,
1980s,1990s,productivity,0.027555882930755615,,
1980s,1990s,efficiency,0.04518657922744751,,
1980s,1990s,investment,0.07221543788909912,,
1980s,1990s,infrastructure,0.045282065868377686,,
1980s,1990s,insurance,0.05045086145401001,,
1980s,1990s,relief,0.021155059337615967,,
1980s,1990s,aid,0.0693771243095398,,
1980s,1990s,assistance,0.09324955940246582,,
1980s,1990s,oversight,0.066708505153656,,
1980s,1990s,appropriation,0.1518428921699524,,
1980s,1990s,mandate,0.11741811037063599,,
1980s,1990s,authority,0.050202131271362305,,
1980s,1990s,strategy,0.05172610282897949,,
1980s,1990s,operation,0.022613883018493652,,
1980s,1990s,mission,0.0308569073677063,,
1980s,1990s,conflict,0.023637592792510986,,
1980s,1990s,threat,0.15542244911193848,,
1980s,1990s,risk,0.0365595817565918,,
1980s,1990s,capacity,0.016811668872833252,,
1980s,1990s,burden,0.06980663537979126,,
1980s,1990s,sacrifice,0.016178607940673828,,
1980s,1990s,responsibility,0.08874666690826416,,
1980s,1990s,obligation,0.20365864038467407,,
1980s,1990s,consensus,0.05171048641204834,,
1980s,1990s,bipartisan,0.05532759428024292,,
1980s,1990s,compromise,0.08429449796676636,,
1980s,1990s,division,0.03912240266799927,,
1980s,1990s,growth,0.10101252794265747,,
1980s,1990s,recovery,0.0976552963256836,,
1980s,1990s,sanction,0.1716477870941162,,
1980s,1990s,civilian,0.02579253911972046,,
1980s,1990s,casualty,0.04829597473144531,,
1980s,1990s,withdrawal,0.0624539852142334,,
1990s,2000s,poverty,0.11501163244247437,,
1990s,2000s,war,0.5637312531471252,,
1990s,2000s,security,0.542477160692215,,
1990s,2000s,freedom,0.11559385061264038,,
1990s,2000s,liberty,0.24280661344528198,,
1990s,2000s,justice,0.36493539810180664,,
1990s,2000s,peace,0.28589195013046265,,
1990s,2000s,prosperity,0.12900102138519287,,
1990s,2000s,inflation,0.06030088663101196,,
1990s,2000s,taxation,0.09030753374099731,,
1990s,2000s,regulation,0.06434118747711182,,
1990s,2000s,education,0.2655898928642273,,
1990s,2000s,labor,0.13107645511627197,,
1990s,2000s,welfare,0.08796894550323486,,
1990s,2000s,crisis,0.1855596899986267,,
1990s,2000s,defense,0.174435555934906,,
1990s,2000s,intervention,0.2281123399734497,,
1990s,2000s,stability,0.13490867614746094,,
1990s,2000s,reform,0.11901247501373291,,
1990s,2000s,transition,0.04095405340194702,,
1990s,2000s,equity,0.13674157857894897,,
1990s,2000s,opportunity,0.18781298398971558,,
1990s,2000s,presence,0.09763365983963013,,
1990s,2000s,intelligence,0.41963106393814087,,
1990s,2000s,initiative,0.12279844284057617,,
1990s,2000s,partnership,0.14823150634765625,,
1990s,2000s,framework,0.07832908630371094,,
1990s,2000s,accountability,0.08689820766448975,,
1990s,2000s,compliance,0.07550567388534546,,
1990s,2000s,productivity,0.08069795370101929,,
1990s,2000s,efficiency,0.12422096729278564,,
1990s,2000s,investment,0.20033591985702515,,
1990s,2000s,infrastructure,0.11329597234725952,,
1990s,2000s,insurance,0.07286339998245239,,
1990s,2000s,relief,0.2483345866203308,,
1990s,2000s,aid,0.10326921939849854,,
1990s,2000s,assistance,0.24131989479064941,,
1990s,2000s,oversight,0.0848379135131836,,
1990s,2000s,appropriation,0.12231147289276123,,
1990s,2000s,mandate,0.0856015682220459,,
1990s,2000s,authority,0.08285707235336304,,
1990s,2000s,strategy,0.08080649375915527,,
1990s,2000s,operation,0.07785218954086304,,
1990s,2000s,mission,0.1543934941291809,,
1990s,2000s,conflict,0.07701629400253296,,
1990s,2000s,threat,0.26158201694488525,,
1990s,2000s,risk,0.13589847087860107,,
1990s,2000s,capacity,0.07468634843826294,,
1990s,2000s,burden,0.1891493797302246,,
1990s,2000s,sacrifice,0.18049860000610352,,
1990s,2000s,responsibility,0.1574026346206665,,
1990s,2000s,obligation,0.05216342210769653,,
1990s,2000s,consensus,0.0891827940940857,,
1990s,2000s,bipartisan,0.20148158073425293,,
1990s,2000s,compromise,0.08340543508529663,,
1990s,2000s,division,0.11104708909988403,,
1990s,2000s,growth,0.1268467903137207,,
1990s,2000s,recovery,0.09914189577102661,,
1990s,2000s,sanction,0.39795058965682983,,
1990s,2000s,civilian,0.15194112062454224,,
1990s,2000s,casualty,0.11246192455291748,,
2000s,2010s,poverty,0.20067507028579712,,
2000s,2010s,war,0.35456591844558716,,
2000s,2010s,security,0.40547245740890503,,
2000s,2010s,freedom,0.14438307285308838,,
2000s,2010s,liberty,0.11013603210449219,,
2000s,2010s,justice,0.4621139168739319,,
2000s,2010s,peace,0.35758620500564575,,
2000s,2010s,prosperity,0.20080482959747314,,
2000s,2010s,inflation,0.07937926054000854,,
2000s,2010s,taxation,0.17401272058486938,,
2000s,2010s,regulation,0.1884663701057434,,
2000s,2010s,education,0.35272127389907837,,
2000s,2010s,labor,0.17264461517333984,,
2000s,2010s,welfare,0.1898593306541443,,
2000s,2010s,crisis,0.19578999280929565,,
2000s,2010s,defense,0.23081892728805542,,
2000s,2010s,terrorism,0.1771169900894165,,
2000s,2010s,stability,0.22846728563308716,,
2000s,2010s,reform,0.34253495931625366,,
2000s,2010s,transition,0.06956136226654053,,
2000s,2010s,equity,0.0991702675819397,,
2000s,2010s,opportunity,0.18166470527648926,,
2000s,2010s,intelligence,0.23809534311294556,,
2000s,2010s,readiness,0.19392794370651245,,
2000s,2010s,initiative,0.19294655323028564,,
2000s,2010s,partnership,0.15898847579956055,,
2000s,2010s,framework,0.34401994943618774,,
2000s,2010s,accountability,0.27291339635849,,
2000s,2010s,transparency,0.2222997546195984,,
2000s,2010s,innovation,0.12312239408493042,,
2000s,2010s,productivity,0.17140907049179077,,
2000s,2010s,investment,0.32103562355041504,,
2000s,2010s,infrastructure,0.1536526083946228,,
2000s,2010s,insurance,0.21517831087112427,,
2000s,2010s,relief,0.4379027485847473,,
2000s,2010s,aid,0.3761855959892273,,
2000s,2010s,assistance,0.3351767659187317,,
2000s,2010s,oversight,0.28898996114730835,,
2000s,2010s,appropriation,0.287372350692749,,
2000s,2010s,mandate,0.23951011896133423,,
2000s,2010s,authority,0.3148854970932007,,
2000s,2010s,strategy,0.09996438026428223,,
2000s,2010s,operation,0.17928308248519897,,
2000s,2010s,mission,0.1486688256263733,,
2000s,2010s,conflict,0.12288355827331543,,
2000s,2010s,threat,0.12352108955383301,,
2000s,2010s,risk,0.2737678289413452,,
2000s,2010s,capacity,0.11229825019836426,,
2000s,2010s,burden,0.18357932567596436,,
2000s,2010s,sacrifice,0.13509047031402588,,
2000s,2010s,responsibility,0.1441594362258911,,
2000s,2010s,obligation,0.126054048538208,,
2000s,2010s,consensus,0.08321082592010498,,
2000s,2010s,bipartisan,0.27312982082366943,,
2000s,2010s,compromise,0.07742798328399658,,
2000s,2010s,division,0.10286539793014526,,
2000s,2010s,growth,0.20500189065933228,,
2000s,2010s,recovery,0.18399226665496826,,
2000s,2010s,stimulus,0.3521970510482788,,
2000s,2010s,civilian,0.17820698022842407,,
