decade_from,decade_to,word,present_from,present_to,shared_anchor_vocab
1980s,1990s,poverty,True,True,3040
1980s,1990s,war,True,True,3040
1980s,1990s,propaganda,False,False,3040
1980s,1990s,surveillance,True,False,3040
1980s,1990s,occupation,True,False,3040
1980s,1990s,security,True,True,3040
1980s,1990s,freedom,True,True,3040
1980s,1990s,liberty,True,True,3040
1980s,1990s,rights,False,False,3040
1980s,1990s,justice,True,True,3040
1980s,1990s,peace,True,True,3040
1980s,1990s,prosperity,True,True,3040
1980s,1990s,inflation,True,True,3040
1980s,1990s,taxation,True,True,3040
1980s,1990s,regulation,True,True,3040
1980s,1990s,education,True,True,3040
1980s,1990s,labor,True,True,3040
1980s,1990s,welfare,True,True,3040
1980s,1990s,crisis,True,True,3040
1980s,1990s,defense,True,True,3040
1980s,1990s,terror,True,False,3040
1980s,1990s,terrorism,True,False,3040
1980s,1990s,deterrence,False,False,3040
1980s,1990s,intervention,True,True,3040
1980s,1990s,stability,True,True,3040
1980s,1990s,reform,True,True,3040
1980s,1990s,modernization,False,False,3040
1980s,1990s,transition,True,True,3040
1980s,1990s,equity,True,True,3040
1980s,1990s,opportunity,True,True,3040
1980s,1990s,resilience,False,False,3040
1980s,1990s,presence,True,True,3040
1980s,1990s,monitoring,True,False,3040
1980s,1990s,intelligence,True,True,3040
1980s,1990s,readiness,True,False,3040
1980s,1990s,initiative,True,True,3040
1980s,1990s,partnership,True,True,3040
1980s,1990s,framework,True,True,3040
1980s,1990s,engagement,False,False,3040
1980s,1990s,governance,False,False,3040
1980s,1990s,accountability,True,True,3040
1980s,1990s,transparency,False,False,3040
1980s,1990s,compliance,True,True,3040
1980s,1990s,sustainability,False,False,3040
1980s,1990s,innovation,True,False,3040
1980s,1990s,productivity,True,True,3040
1980s,1990s,efficiency,True,True,3040
1980s,1990s,competitiveness,True,False,3040
1980s,1990s,investment,True,True,3040
1980s,1990s,infrastructure,True,True,3040
1980s,1990s,healthcare,False,False,3040
1980s,1990s,insurance,True,True,3040
1980s,1990s,relief,True,True,3040
1980s,1990s,aid,True,True,3040
1980s,1990s,assistance,True,True,3040
1980s,1990s,oversight,True,True,3040
1980s,1990s,appropriation,True,True,3040
1980s,1990s,mandate,True,True,3040
1980s,1990s,authority,True,True,3040
1980s,1990s,coordination,True,False,3040
1980s,1990s,alignment,False,False,3040
1980s,1990s,strategy,True,True,3040
1980s,1990s,tactics,False,False,3040
1980s,1990s,operation,True,True,3040
1980s,1990s,mission,True,True,3040
1980s,1990s,conflict,True,True,3040
1980s,1990s,aggression,False,True,3040
1980s,1990s,threat,True,True,3040
1980s,1990s,risk,True,True,3040
1980s,1990s,stewardship,True,False,3040
1980s,1990s,capacity,True,True,3040
1980s,1990s,priorities,False,False,3040
1980s,1990s,resources,False,False,3040
1980s,1990s,benefits,False,False,3040
1980s,1990s,burden,True,True,3040
1980s,1990s,sacrifice,True,True,3040
1980s,1990s,patriotism,False,False,3040
1980s,1990s,responsibility,True,True,3040
1980s,1990s,obligation,True,True,3040
1980s,1990s,consensus,True,True,3040
1980s,1990s,bipartisan,True,True,3040
1980s,1990s,compromise,True,True,3040
1980s,1990s,unity,True,False,3040
1980s,1990s,division,True,True,3040
1980s,1990s,growth,True,True,3040
1980s,1990s,recovery,True,True,3040
1980s,1990s,austerity,False,False,3040
1980s,1990s,stimulus,False,False,3040
1980s,1990s,sovereignty,False,True,3040
1980s,1990s,diplomacy,False,False,3040
1980s,1990s,sanction,True,True,3040
1980s,1990s,civilian,True,True,3040
1980s,1990s,casualty,True,True,3040
1980s,1990s,collateral,False,False,3040
1980s,1990s,deployment,True,False,3040
1980s,1990s,withdrawal,True,True,3040
1990s,2000s,poverty,True,True,3123
1990s,2000s,war,True,True,3123
1990s,2000s,propaganda,False,False,3123
1990s,2000s,surveillance,False,True,3123
1990s,2000s,occupation,False,False,3123
1990s,2000s,security,True,True,3123
1990s,2000s,freedom,True,True,3123
1990s,2000s,liberty,True,True,3123
1990s,2000s,rights,False,False,3123
1990s,2000s,justice,True,True,3123
1990s,2000s,peace,True,True,3123
1990s,2000s,prosperity,True,True,3123
1990s,2000s,inflation,True,True,3123
1990s,2000s,taxation,True,True,3123
1990s,2000s,regulation,True,True,3123
1990s,2000s,education,True,True,3123
